datetime (UTC+0),pressure_water (cmH2O),temperature_water (deg.C),pressure_atmo (cmH2O),temperature_atmo (deg.C),wl_corr (cmH2O),wl_final (cmH2O),Q_mid (m^3 s^{-1}),Q_low (m^3 s^{-1}),Q_high (m^3 s^{-1})
2024-01-01T00:00:00+00:00,,-2.261,657.2580850749237,-13.409,,,,,
2024-01-01T01:00:00+00:00,,-2.261,657.2478879127939,-13.715,,,,,
2024-01-01T02:00:00+00:00,,-2.261,657.4926198039085,-13.868,,,,,
2024-01-01T03:00:00+00:00,,-2.261,657.7373516950232,-14.023,,,,,
2024-01-01T04:00:00+00:00,,-2.261,657.6761687222446,-14.178,,,,,
2024-01-01T05:00:00+00:00,,-2.261,659.3383061493987,-9.388,,,,,
2024-01-01T06:00:00+00:00,,-2.145,660.7353173611784,-0.887,,,,,
2024-01-01T07:00:00+00:00,,-2.145,660.7455145233082,2.303,,,,,
2024-01-01T08:00:00+00:00,,-2.145,660.0725018227427,3.683,,,,,
2024-01-01T09:00:00+00:00,,-2.145,659.2771231766201,1.764,,,,,
2024-01-01T10:00:00+00:00,,-2.145,658.0942523695657,-0.325,,,,,
2024-01-01T11:00:00+00:00,,-2.145,657.9107034512297,-2.03,,,,,
2024-01-01T12:00:00+00:00,,-2.03,658.073858045306,-4.758,,,,,
2024-01-01T13:00:00+00:00,,-2.03,658.1554353423443,-6.626,,,,,
2024-01-01T14:00:00+00:00,,-2.03,658.1146466938252,-8.05,,,,,
2024-01-01T15:00:00+00:00,,-2.03,657.9616892618784,-9.252,,,,,
2024-01-01T16:00:00+00:00,,-2.03,657.798534667802,-9.525,,,,,
2024-01-01T17:00:00+00:00,,-1.914,657.5945914252064,-10.353,,,,,
2024-01-01T18:00:00+00:00,,-1.914,657.4212396690002,-10.634,,,,,
2024-01-01T19:00:00+00:00,,-1.914,657.4824226417788,-10.774,,,,,
2024-01-01T20:00:00+00:00,,-1.914,657.2784793991832,-11.487,,,,,
2024-01-01T21:00:00+00:00,,-1.914,656.8909872382516,-11.776,,,,,
2024-01-01T22:00:00+00:00,,-1.914,656.5442837258391,-11.922,,,,,
2024-01-01T23:00:00+00:00,,-1.914,656.0548199436098,-12.509,,,,,
