datetime,pressure,temp,pressure_atmo,temp_atmo,wl_corr,wl_final,Q_mid,Q_low,Q_high
2025-01-01T00:00:00+00:00,,0.05,665.533,-13.117,,,,,
2025-01-01T01:00:00+00:00,,0.05,665.533,-13.14,,,,,
2025-01-01T02:00:00+00:00,,0.04,665.65,-13.233,,,,,
2025-01-01T03:00:00+00:00,,0.05,666.35,-13.337,,,,,
2025-01-01T04:00:00+00:00,,0.04,665.65,-12.92,,,,,
2025-01-01T05:00:00+00:00,,0.057,664.192,-11.743,,,,,
2025-01-01T06:00:00+00:00,,0.033,659.292,-7.203,,,,,
2025-01-01T07:00:00+00:00,,0.05,657.075,-3.493,,,,,
2025-01-01T08:00:00+00:00,,0.05,656.783,-4.697,,,,,
2025-01-01T09:00:00+00:00,,0.05,658.883,-8.0,,,,,
2025-01-01T10:00:00+00:00,,0.05,659.467,-8.407,,,,,
2025-01-01T11:00:00+00:00,,0.05,659.933,-9.077,,,,,
2025-01-01T12:00:00+00:00,,0.04,660.75,-9.68,,,,,
2025-01-01T13:00:00+00:00,,0.033,661.683,-9.993,,,,,
2025-01-01T14:00:00+00:00,,0.04,662.675,-10.42,,,,,
2025-01-01T15:00:00+00:00,,0.04,663.433,-11.327,,,,,
2025-01-01T16:00:00+00:00,,0.04,663.9,-11.68,,,,,
2025-01-01T17:00:00+00:00,,0.04,664.6,-12.39,,,,,
2025-01-01T18:00:00+00:00,,0.05,664.6,-12.42,,,,,
2025-01-01T19:00:00+00:00,,0.05,664.308,-12.14,,,,,
2025-01-01T20:00:00+00:00,,0.05,663.9,-12.14,,,,,
2025-01-01T21:00:00+00:00,,0.05,664.017,-12.017,,,,,
2025-01-01T22:00:00+00:00,,0.04,663.608,-11.913,,,,,
2025-01-01T23:00:00+00:00,,0.04,663.608,-11.82,,,,,
2025-01-02T00:00:00+00:00,,0.033,663.9,-11.947,,,,,
2025-01-02T01:00:00+00:00,,0.04,663.9,-12.11,,,,,
2025-01-02T02:00:00+00:00,,0.05,664.6,-12.397,,,,,
2025-01-02T03:00:00+00:00,,0.05,665.942,-12.867,,,,,
2025-01-02T04:00:00+00:00,,0.04,665.183,-12.343,,,,,
2025-01-02T05:00:00+00:00,,0.04,664.017,-11.39,,,,,
2025-01-02T06:00:00+00:00,,0.033,661.8,-9.43,,,,,
2025-01-02T07:00:00+00:00,,0.05,661.917,-8.75,,,,,
2025-01-02T08:00:00+00:00,,0.05,660.925,-8.267,,,,,
2025-01-02T09:00:00+00:00,,0.05,660.342,-7.517,,,,,
2025-01-02T10:00:00+00:00,,0.05,661.042,-7.913,,,,,
2025-01-02T11:00:00+00:00,,0.05,662.558,-9.477,,,,,
2025-01-02T12:00:00+00:00,,0.04,664.017,-10.61,,,,,
2025-01-02T13:00:00+00:00,,0.05,665.183,-11.267,,,,,
2025-01-02T14:00:00+00:00,,0.05,665.767,-12.077,,,,,
2025-01-02T15:00:00+00:00,,0.05,666.642,-12.35,,,,,
2025-01-02T16:00:00+00:00,,0.04,667.05,-12.797,,,,,
2025-01-02T17:00:00+00:00,,0.05,667.517,-13.203,,,,,
2025-01-02T18:00:00+00:00,,0.04,668.392,-13.757,,,,,
2025-01-02T19:00:00+00:00,,0.05,668.567,-13.797,,,,,
2025-01-02T20:00:00+00:00,,0.05,668.858,-14.227,,,,,
2025-01-02T21:00:00+00:00,,0.05,669.15,-14.187,,,,,
2025-01-02T22:00:00+00:00,,0.04,670.142,-15.07,,,,,
2025-01-02T23:00:00+00:00,,0.04,670.142,-14.92,,,,,
2025-01-03T00:00:00+00:00,,0.05,671.483,-15.337,,,,,
2025-01-03T01:00:00+00:00,,0.05,672.942,-15.873,,,,,
2025-01-03T02:00:00+00:00,,0.057,673.175,-15.827,,,,,
2025-01-03T03:00:00+00:00,,0.033,674.05,-15.953,,,,,
2025-01-03T04:00:00+00:00,,0.057,673.642,-15.57,,,,,
2025-01-03T05:00:00+00:00,,0.05,669.092,-12.743,,,,,
2025-01-03T06:00:00+00:00,,0.057,662.792,-5.397,,,,,
2025-01-03T07:00:00+00:00,,0.057,660.458,0.11,,,,,
2025-01-03T08:00:00+00:00,,0.05,660.575,2.243,,,,,
2025-01-03T09:00:00+00:00,,0.063,660.983,1.04,,,,,
2025-01-03T10:00:00+00:00,,0.04,661.625,-1.0,,,,,
2025-01-03T11:00:00+00:00,,0.05,662.792,-4.147,,,,,
2025-01-03T12:00:00+00:00,,0.05,664.25,-6.6,,,,,
2025-01-03T13:00:00+00:00,,0.05,665.708,-8.303,,,,,
2025-01-03T14:00:00+00:00,,0.04,666.758,-9.453,,,,,
2025-01-03T15:00:00+00:00,,0.05,667.167,-10.517,,,,,
2025-01-03T16:00:00+00:00,,0.057,667.517,-11.257,,,,,
2025-01-03T17:00:00+00:00,,0.05,668.8,-12.03,,,,,
2025-01-03T18:00:00+00:00,,0.05,668.683,-12.297,,,,,
2025-01-03T19:00:00+00:00,,0.063,668.683,-12.54,,,,,
2025-01-03T20:00:00+00:00,,0.04,668.975,-12.767,,,,,
2025-01-03T21:00:00+00:00,,0.05,668.217,-12.46,,,,,
2025-01-03T22:00:00+00:00,,0.05,667.517,-12.077,,,,,
2025-01-03T23:00:00+00:00,,0.057,668.217,-12.43,,,,,
2025-01-04T00:00:00+00:00,,0.05,667.808,-12.61,,,,,
2025-01-04T01:00:00+00:00,,0.057,668.217,-12.547,,,,,
2025-01-04T02:00:00+00:00,,0.05,667.342,-12.437,,,,,
2025-01-04T03:00:00+00:00,,0.057,668.1,-12.71,,,,,
2025-01-04T04:00:00+00:00,,0.05,666.933,-11.97,,,,,
2025-01-04T05:00:00+00:00,,0.05,665.183,-10.623,,,,,
2025-01-04T06:00:00+00:00,,0.05,659.875,-4.883,,,,,
